hour,time
901,H10
902,H11
903,H11
904,H11
905,H11
906,H12
907,H12
908,H12
909,H12
910,H12
911,H9
912,H9
913,H9
914,H9
915,H9
916,H9
917,H9
918,H9
919,H10
920,H10
921,H10
922,H10
923,H10
924,H10
925,H10
926,H11
927,H11
928,H11
929,H11
930,H12
931,H12
932,H12
933,H12
934,H12
935,H9
936,H9
937,H9
938,H9
939,H9
940,H9
941,H9
942,H9
943,H10
944,H10
945,H10
946,H10
947,H10
948,H10
949,H10
950,H11
951,H11
952,H11
953,H11
954,H12
955,H12
956,H12
957,H12
958,H12
959,H9
960,H9
961,H9
962,H9
963,H9
964,H9
965,H9
966,H9
967,H10
968,H10
969,H10
970,H10
971,H10
972,H10
973,H10
974,H11
975,H11
976,H11
977,H11
978,H12
979,H12
980,H12
981,H12
982,H12
983,H9
984,H9
985,H9
986,H9
987,H9
988,H9
989,H9
990,H9
991,H10
992,H10
993,H10
994,H10
995,H10
996,H10
997,H10
998,H11
999,H11
1000,H11
1001,H11
1002,H12
1003,H12
1004,H12
1005,H12
1006,H12
1007,H9
1008,H9
1009,H9
1010,H9
1011,H9
1012,H9
1013,H9
1014,H9
1015,H10
1016,H10
1017,H10
1018,H10
1019,H10
1020,H10
1021,H10
1022,H11
1023,H11
1024,H11
1025,H11
1026,H12
1027,H12
1028,H12
1029,H12
1030,H12
1031,H9
1032,H9
1033,H9
1034,H9
1035,H9
1036,H9
1037,H9
1038,H9
1039,H10
1040,H10
1041,H10
1042,H10
1043,H10
1044,H10
1045,H10
1046,H11
1047,H11
1048,H11
1049,H11
1050,H12
1051,H12
1052,H12
1053,H12
1054,H12
1055,H9
1056,H9
1057,H9
1058,H9
1059,H9
1060,H9
1061,H9
1062,H9
1063,H10
1064,H10
1065,H10
1066,H10
1067,H10
1068,H10
1069,H10
1070,H11
1071,H11
1072,H11
1073,H11
1074,H12
1075,H12
1076,H12
1077,H12
1078,H12
1079,H9
1080,H9
1081,H9
1082,H9
1083,H9
1084,H9
1085,H9
1086,H9
1087,H10
1088,H10
1089,H10
1090,H10
1091,H10
1092,H10
1093,H10
1094,H11
1095,H11
1096,H11
1097,H11
1098,H12
1099,H12
1100,H12
1101,H12
1102,H12
1103,H9
1104,H9
1105,H9
1106,H9
1107,H9
1108,H9
1109,H9
1110,H9
1111,H10
1112,H10
1113,H10
1114,H10
1115,H10
1116,H10
1117,H10
1118,H11
1119,H11
1120,H11
1121,H11
1122,H12
1123,H12
1124,H12
1125,H12
1126,H12
1127,H9
1128,H9
1129,H9
1130,H9
1131,H9
1132,H9
1133,H9
1134,H9
1135,H10
1136,H10
1137,H10
1138,H10
1139,H10
1140,H10
1141,H10
1142,H11
1143,H11
1144,H11
1145,H11
1146,H12
1147,H12
1148,H12
1149,H12
1150,H12
1151,H9
1152,H9
1153,H9
1154,H9
1155,H9
1156,H9
1157,H9
1158,H9
1159,H10
1160,H10
1161,H10
1162,H10
1163,H10
1164,H10
